PerfectGroup(43008,17) |Phi|=4 violated by |a|=2 |b|=3 |ab|=3
PerfectGroup(43008,18) |Phi|=32 violated by |a|=2 |b|=3 |ab|=3
PerfectGroup(43008,19) |Phi|=256 violated by |a|=2 |b|=7 |ab|=7
PerfectGroup(43008,20) |Phi|=32 violated by |a|=2 |b|=7 |ab|=7
PerfectGroup(43008,21) |Phi|=32 violated by |a|=2 |b|=3 |ab|=3
PerfectGroup(43008,22) |Phi|=32 violated by |a|=2 |b|=3 |ab|=3
PerfectGroup(43008,23) |Phi|=32 violated by |a|=2 |b|=7 |ab|=7
PerfectGroup(43008,24) |Phi|=32 violated by |a|=2 |b|=3 |ab|=3
PerfectGroup(43008,25) |Phi|=1 violated by |a|=2 |b|=3 |ab|=3
PerfectGroup(43200,1) |Phi|=2 violated by |a|=3 |b|=4 |ab|=10
PerfectGroup(43200,2) |Phi|=2 violated by |a|=3 |b|=2 |ab|=3
PerfectGroup(43200,3) |Phi|=2 violated by |a|=3 |b|=4 |ab|=10
PerfectGroup(43320,1) |Phi|=1 violated by |a|=4 |b|=5 |ab|=6
PerfectGroup(43740,1) |Phi|=1 violated by |a|=3 |b|=2 |ab|=2
PerfectGroup(46080,1) |Phi|=8 violated by |a|=6 |b|=5 |ab|=8
PerfectGroup(48000,1) |Phi|=1 violated by |a|=5 |b|=6 |ab|=6
PerfectGroup(48000,2) |Phi|=16 violated by |a|=5 |b|=6 |ab|=6
PerfectGroup(48000,3) |Phi|=1 violated by |a|=5 |b|=3 |ab|=3
PerfectGroup(50616,1) |Phi|=2 violated by |a|=9 |b|=4 |ab|=4
PerfectGroup(51840,1) |Phi|=2 violated by |a|=3 |b|=4 |ab|=4
PerfectGroup(51888,1) |Phi|=1 violated by |a|=23 |b|=47 |ab|=23
PerfectGroup(56448,1) |Phi|=2 violated by |a|=3 |b|=7 |ab|=3
PerfectGroup(56448,2) |Phi|=2 violated by |a|=3 |b|=7 |ab|=3
PerfectGroup(57600,1) |Phi|=1 violated by |a|=3 |b|=2 |ab|=2
PerfectGroup(57600,2) |Phi|=1 violated by |a|=3 |b|=2 |ab|=2
PerfectGroup(57624,1) |Phi|=1 violated by |a|=7 |b|=4 |ab|=4
PerfectGroup(57624,2) |Phi|=343 violated by |a|=7 |b|=4 |ab|=4
PerfectGroup(58240,1) |Phi|=2 violated by |a|=4 |b|=13 |ab|=4
PerfectGroup(58320,1) |Phi|=2 violated by |a|=3 |b|=8 |ab|=8
PerfectGroup(58320,2) |Phi|=1 violated by |a|=3 |b|=8 |ab|=8
PerfectGroup(58800,1) |Phi|=1 violated by |a|=2 |b|=7 |ab|=2
PerfectGroup(60480,1) |Phi|=3 violated by |a|=4 |b|=5 |ab|=4
PerfectGroup(60480,2) |Phi|=2 violated by |a|=7 |b|=2 |ab|=7
PerfectGroup(60480,3) |Phi|=1 violated by |a|=3 |b|=2 |ab|=3
PerfectGroup(61440,1) |Phi|=64 violated by |a|=2 |b|=3 |ab|=3
PerfectGroup(61440,2) |Phi|=64 violated by |a|=3 |b|=4 |ab|=6
PerfectGroup(61440,3) |Phi|=64 violated by |a|=2 |b|=3 |ab|=3
PerfectGroup(61440,4) |Phi|=64 violated by |a|=2 |b|=3 |ab|=3
PerfectGroup(61440,5) |Phi|=64 violated by |a|=2 |b|=5 |ab|=5
PerfectGroup(61440,6) |Phi|=64 violated by |a|=6 |b|=5 |ab|=3
PerfectGroup(61440,7) |Phi|=64 violated by |a|=6 |b|=5 |ab|=10
PerfectGroup(61440,8) |Phi|=64 violated by |a|=3 |b|=4 |ab|=3
PerfectGroup(61440,9) |Phi|=64 violated by |a|=2 |b|=3 |ab|=3
PerfectGroup(61440,10) |Phi|=64 violated by |a|=3 |b|=2 |ab|=3
PerfectGroup(61440,11) |Phi|=64 violated by |a|=4 |b|=3 |ab|=6
PerfectGroup(61440,12) |Phi|=64 violated by |a|=2 |b|=3 |ab|=3
PerfectGroup(61440,13) |Phi|=1024 violated by |a|=2 |b|=3 |ab|=3
PerfectGroup(61440,14) |Phi|=1024 violated by |a|=3 |b|=4 |ab|=6
PerfectGroup(61440,15) |Phi|=1024 violated by |a|=4 |b|=3 |ab|=3
PerfectGroup(61440,16) |Phi|=64 violated by |a|=2 |b|=5 |ab|=5
PerfectGroup(61440,17) |Phi|=64 violated by |a|=2 |b|=3 |ab|=3
PerfectGroup(61440,18) |Phi|=64 violated by |a|=2 |b|=5 |ab|=5
PerfectGroup(61440,19) |Phi|=64 violated by |a|=4 |b|=3 |ab|=3
PerfectGroup(61440,20) |Phi|=64 violated by |a|=3 |b|=2 |ab|=3
PerfectGroup(61440,21) |Phi|=64 violated by |a|=3 |b|=4 |ab|=3
PerfectGroup(61440,22) |Phi|=64 violated by |a|=3 |b|=4 |ab|=6
PerfectGroup(61440,23) |Phi|=64 violated by |a|=2 |b|=3 |ab|=3
PerfectGroup(61440,24) |Phi|=64 violated by |a|=2 |b|=5 |ab|=5
PerfectGroup(61440,25) |Phi|=64 violated by |a|=4 |b|=5 |ab|=5
PerfectGroup(61440,26) |Phi|=64 violated by |a|=2 |b|=3 |ab|=3
PerfectGroup(61440,27) |Phi|=64 violated by |a|=2 |b|=3 |ab|=3
PerfectGroup(61440,28) |Phi|=64 violated by |a|=2 |b|=3 |ab|=3
PerfectGroup(61440,29) |Phi|=64 violated by |a|=2 |b|=5 |ab|=5
PerfectGroup(61440,30) |Phi|=64 violated by |a|=2 |b|=3 |ab|=3
PerfectGroup(61440,31) |Phi|=64 violated by |a|=2 |b|=5 |ab|=5
PerfectGroup(61440,32) |Phi|=4 violated by |a|=2 |b|=3 |ab|=3
PerfectGroup(61440,33) |Phi|=4 violated by |a|=2 |b|=5 |ab|=5
PerfectGroup(61440,34) |Phi|=4 violated by |a|=2 |b|=5 |ab|=5
PerfectGroup(61440,35) |Phi|=4 violated by |a|=2 |b|=5 |ab|=5
PerfectGroup(61440,36) |Phi|=4 violated by |a|=2 |b|=3 |ab|=3
PerfectGroup(61440,37) |Phi|=4 violated by |a|=2 |b|=3 |ab|=3
PerfectGroup(61440,38) |Phi|=4 violated by |a|=2 |b|=3 |ab|=3
PerfectGroup(61440,39) |Phi|=4 violated by |a|=2 |b|=5 |ab|=5
PerfectGroup(61440,40) |Phi|=4 violated by |a|=2 |b|=5 |ab|=5
PerfectGroup(61440,41) |Phi|=4 violated by |a|=2 |b|=5 |ab|=5
PerfectGroup(61440,42) |Phi|=4 violated by |a|=2 |b|=5 |ab|=5
PerfectGroup(61440,43) |Phi|=4 violated by |a|=2 |b|=3 |ab|=3
